Measurement,Average,Standard Deviation
Persona Precision,0.993,0.012
Persona Recall,0.993,0.012
Persona F-Measure,0.993,0.012
Entity Precision,0.079,0.026
Entity Recall,0.481,0.13
Entity F-Measure,0.135,0.041
Action Precision,0.151,0.025
Action Recall,0.942,0.079
Action F-Measure,0.26,0.038
