Measurement,Average,Standard Deviation
Persona Precision,0.773,0.306
Persona Recall,0.781,0.31
Persona F-Measure,0.777,0.308
Entity Precision,0.442,0.143
Entity Recall,0.241,0.075
Entity F-Measure,0.307,0.092
Action Precision,0.063,0.053
Action Recall,0.039,0.035
Action F-Measure,0.048,0.042
