Measurement,Average,Standard Deviation
Persona Precision,0.993,0.012
Persona Recall,0.993,0.012
Persona F-Measure,0.993,0.012
Entity Precision,0.215,0.038
Entity Recall,0.414,0.083
Entity F-Measure,0.282,0.05
Action Precision,0.282,0.039
Action Recall,0.778,0.086
Action F-Measure,0.413,0.051
