Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.99,0.015,Relaxed Comparison,simple
Persona Recall,0.99,0.015,Relaxed Comparison,simple
Persona F-Measure,0.99,0.015,Relaxed Comparison,simple
Entity Precision,0.082,0.015,Relaxed Comparison,simple
Entity Recall,0.495,0.112,Relaxed Comparison,simple
Entity F-Measure,0.14,0.026,Relaxed Comparison,simple
Action Precision,0.161,0.026,Relaxed Comparison,simple
Action Recall,0.939,0.038,Relaxed Comparison,simple
Action F-Measure,0.274,0.038,Relaxed Comparison,simple
