Measurement,Average,Standard Deviation
Persona Precision,0.993,0.012
Persona Recall,0.993,0.012
Persona F-Measure,0.993,0.012
Entity Precision,0.058,0.022
Entity Recall,0.353,0.11
Entity F-Measure,0.1,0.035
Action Precision,0.143,0.024
Action Recall,0.886,0.074
Action F-Measure,0.245,0.037
