Measurement,Average,Standard Deviation
Persona Precision,0.557,0.346
Persona Recall,0.557,0.346
Persona F-Measure,0.557,0.346
Entity Precision,0.358,0.117
Entity Recall,0.315,0.108
Entity F-Measure,0.334,0.111
Action Precision,0.893,0.077
Action Recall,0.849,0.069
Action F-Measure,0.87,0.072
