Measurement,Average,Standard Deviation
Persona Precision,0.558,0.345
Persona Recall,0.558,0.345
Persona F-Measure,0.558,0.345
Entity Precision,0.467,0.143
Entity Recall,0.411,0.132
Entity F-Measure,0.436,0.136
Action Precision,0.952,0.081
Action Recall,0.905,0.073
Action F-Measure,0.928,0.076
