Measurement,Average,Standard Deviation
Persona Precision,0.821,0.268
Persona Recall,0.828,0.271
Persona F-Measure,0.824,0.269
Entity Precision,0.287,0.131
Entity Recall,0.521,0.144
Entity F-Measure,0.365,0.135
Action Precision,0.075,0.072
Action Recall,0.105,0.09
Action F-Measure,0.087,0.079
