Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.913,0,Inclusion Comparison,visual_narrator
Persona Recall,0.913,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.913,0,Inclusion Comparison,visual_narrator
Entity Precision,0.381,0,Inclusion Comparison,visual_narrator
Entity Recall,0.35,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.365,0,Inclusion Comparison,visual_narrator
Action Precision,0.907,0,Inclusion Comparison,visual_narrator
Action Recall,0.842,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.873,0,Inclusion Comparison,visual_narrator
