Measurement,Average,Standard Deviation
Persona Precision,0.836,0.289
Persona Recall,0.845,0.292
Persona F-Measure,0.84,0.291
Entity Precision,0.254,0.115
Entity Recall,0.434,0.127
Entity F-Measure,0.317,0.12
Action Precision,0.064,0.047
Action Recall,0.089,0.065
Action F-Measure,0.074,0.055
