Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
0.9473684210526315,0.1792452830188679,0.27522935779816515,0.9473684210526315,0.3114754098360656,0.7317073170731707,0.9473684210526315,0.22754491017964074,0.4
1.0,0.26732673267326734,0.2857142857142857,1.0,0.54,0.9333333333333333,1.0,0.3576158940397351,0.43749999999999994
1.0,0.208955223880597,0.3492063492063492,1.0,0.4666666666666667,0.9166666666666666,1.0,0.28865979381443296,0.5057471264367815
1.0,0.18085106382978725,0.25609756097560976,1.0,0.3469387755102041,0.9130434782608695,1.0,0.23776223776223773,0.4
1.0,0.26785714285714285,0.22727272727272727,1.0,0.5084745762711864,0.5714285714285714,1.0,0.3508771929824561,0.3252032520325203
0.9473684210526315,0.18120805369127516,0.22857142857142856,0.9473684210526315,0.39705882352941174,0.7441860465116279,0.9473684210526315,0.24884792626728108,0.34972677595628415
1.0,0.14285714285714285,0.2736842105263158,1.0,0.35714285714285715,0.7878787878787878,1.0,0.20408163265306123,0.40625000000000006
1.0,0.2361111111111111,0.2631578947368421,1.0,0.4857142857142857,0.75,1.0,0.3177570093457944,0.38961038961038963
1.0,0.2647058823529412,0.25,1.0,0.5294117647058824,0.6666666666666666,1.0,0.35294117647058826,0.36363636363636365
1.0,0.1780821917808219,0.2926829268292683,1.0,0.34210526315789475,0.7741935483870968,1.0,0.23423423423423423,0.42477876106194684
1.0,0.17142857142857143,0.3246753246753247,1.0,0.22641509433962265,0.9615384615384616,1.0,0.1951219512195122,0.48543689320388356
1.0,0.2191780821917808,0.2608695652173913,1.0,0.3950617283950617,0.6923076923076923,1.0,0.28193832599118945,0.3789473684210526
1.0,0.2672413793103448,0.38095238095238093,1.0,0.4025974025974026,0.8727272727272727,1.0,0.3212435233160622,0.5303867403314917
1.0,0.22429906542056074,0.2755102040816326,1.0,0.42857142857142855,0.7105263157894737,1.0,0.29447852760736193,0.39705882352941174
1.0,0.1732283464566929,0.31666666666666665,1.0,0.36065573770491804,0.8085106382978723,1.0,0.23404255319148937,0.45508982035928147
1.0,0.2,0.3829787234042553,1.0,0.32,0.9473684210526315,1.0,0.24615384615384614,0.5454545454545454
1.0,0.18181818181818182,0.2916666666666667,1.0,0.3181818181818182,0.7777777777777778,1.0,0.23140495867768596,0.42424242424242425
1.0,0.2975206611570248,0.24242424242424243,1.0,0.4864864864864865,0.96,1.0,0.36923076923076925,0.3870967741935484
1.0,0.2323943661971831,0.3046875,1.0,0.4782608695652174,0.8666666666666667,1.0,0.31279620853080564,0.45086705202312144
1.0,0.2994652406417112,0.2893081761006289,1.0,0.4745762711864407,0.7419354838709677,1.0,0.36721311475409835,0.416289592760181
1.0,0.3125,0.3392857142857143,1.0,0.4166666666666667,0.8636363636363636,1.0,0.35714285714285715,0.48717948717948717
