Measurement,Average,Standard Deviation
Persona Precision,0.809,0.268
Persona Recall,0.815,0.271
Persona F-Measure,0.812,0.269
Entity Precision,0.211,0.102
Entity Recall,0.385,0.134
Entity F-Measure,0.269,0.11
Action Precision,0.075,0.072
Action Recall,0.105,0.09
Action F-Measure,0.087,0.079
