Measurement,Average,Standard Deviation
Persona Precision,0.558,0.345
Persona Recall,0.558,0.345
Persona F-Measure,0.558,0.345
Entity Precision,0.532,0.141
Entity Recall,0.147,0.048
Entity F-Measure,0.229,0.071
Action Precision,0.957,0.08
Action Recall,0.404,0.059
Action F-Measure,0.566,0.065
