Data Name, C1, C2
g02,0.1,0.35
g03,0,0.05
g04,0.05,0
g05,0.2,0.05
g08,0.05,0
g10,0.2,0.45
g11,0.15,0.85
g12,0,0
g13,1.9,0.35
g14,1,0
g17,0.1,0.05
g18,1.05,0.25
g19,0.15,0.05
g21,0.3,0.1
g22,0.05,0.3
g23,0.2,0
g24,0,0.05
g25,0.2,0.1
g26,0.15,0.25
g27,0,0.85
g28,0.1,0.2
content_management,1,0.05
dev,0.25,0.8
iot,0.15,0.5
management_app,0.55,0.5
reporting,1,0
web,1,0.05
global,0.65,0
