Data Name, C1, C2
g02,,
g03,,
g04,,
g05,,
g08,,
g10,,
g11,,
g12,,
g13,,
g14,,
g17,,
g18,,
g19,,
g21,,
g22,,
g23,,
g24,,
g25,,
g26,,
g27,,
g28,,
content_management,0.05,0.45
dev,0.7,0.2
iot,0.25,0.2
management_app,0.8,0.2
reporting,0.7,0.05
web,1,0.1
global,0.15,0.05
