Data Name, C1, C2
g02,0.45,0.1
g03,0.15,0.95
g04,0.8,0.35
g05,0.35,0
g08,0.3,0.1
g10,0.75,0.45
g11,0.85,0.05
g12,0,0.3
g13,0.7,0.45
g14,0.25,0.55
g17,0.9,0.3
g18,0.4,0.75
g19,0.15,0.5
g21,0.65,0
g22,0.2,0.4
g23,0,0.3
g24,0.3,0
g25,1,0
g26,0.2,0.25
g27,0.1,0.6
g28,0.05,0
content_management,1,0.05
dev,0.25,0.8
iot,0.15,0.5
management_app,0.55,0.5
reporting,1,0
web,1,0.05
global,0.65,0
