Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.8793103448275862,0.8604651162790697,1.0,0.8360655737704918,0.9024390243902439,1.0,0.8571428571428572,0.8809523809523809
1.0,0.92,0.9642857142857143,1.0,0.92,0.9,1.0,0.92,0.9310344827586207
1.0,0.8,0.8636363636363636,1.0,0.8,0.7916666666666666,1.0,0.8000000000000002,0.8260869565217391
1.0,0.92,0.9047619047619048,1.0,0.9387755102040817,0.8260869565217391,1.0,0.9292929292929293,0.8636363636363636
1.0,0.9830508474576272,0.6829268292682927,1.0,0.9830508474576272,0.8,1.0,0.9830508474576272,0.736842105263158
1.0,0.8309859154929577,0.7954545454545454,1.0,0.8676470588235294,0.813953488372093,1.0,0.8489208633093526,0.8045977011494252
1.0,0.8478260869565217,0.9032258064516129,1.0,0.9285714285714286,0.8484848484848485,1.0,0.8863636363636365,0.875
1.0,0.7297297297297297,1.0,1.0,0.7714285714285715,0.65,1.0,0.75,0.787878787878788
1.0,0.7241379310344828,0.782608695652174,1.0,0.6176470588235294,0.6666666666666666,1.0,0.6666666666666667,0.72
1.0,0.8611111111111112,0.8387096774193549,1.0,0.8157894736842105,0.8387096774193549,1.0,0.8378378378378377,0.8387096774193549
1.0,0.8275862068965517,0.875,1.0,0.9056603773584906,0.8076923076923077,1.0,0.8648648648648648,0.8400000000000001
1.0,0.7816091954022989,0.9565217391304348,1.0,0.8395061728395061,0.8461538461538461,1.0,0.8095238095238094,0.8979591836734695
1.0,0.875,0.98,1.0,0.9090909090909091,0.8909090909090909,1.0,0.8917197452229298,0.9333333333333333
1.0,0.8275862068965517,0.8648648648648649,1.0,0.8571428571428571,0.8421052631578947,1.0,0.8421052631578947,0.8533333333333334
1.0,0.8,0.8571428571428571,1.0,0.8524590163934426,0.8936170212765957,1.0,0.8253968253968254,0.875
1.0,0.96,1.0,1.0,0.96,0.9473684210526315,1.0,0.96,0.972972972972973
1.0,0.8260869565217391,0.9047619047619048,1.0,0.8636363636363636,0.7037037037037037,1.0,0.8444444444444444,0.7916666666666667
1.0,0.922077922077922,0.9230769230769231,1.0,0.9594594594594594,0.96,1.0,0.9403973509933775,0.9411764705882353
1.0,0.8636363636363636,0.9333333333333333,1.0,0.8260869565217391,0.9333333333333333,1.0,0.8444444444444444,0.9333333333333333
1.0,0.7804878048780488,0.8769230769230769,1.0,0.8135593220338984,0.9193548387096774,1.0,0.7966804979253113,0.8976377952755904
1.0,0.7948717948717948,0.9473684210526315,1.0,0.8611111111111112,0.8181818181818182,1.0,0.8266666666666667,0.8780487804878049
