Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
0.9642857142857143,0.16279069767441862,0.2727272727272727,0.9642857142857143,0.2978723404255319,0.7377049180327869,0.9642857142857143,0.2105263157894737,0.39823008849557523
1.0,0.2789115646258503,0.3161764705882353,1.0,0.5694444444444444,0.9555555555555556,1.0,0.3744292237442922,0.47513812154696133
1.0,0.20353982300884957,0.33653846153846156,1.0,0.4423076923076923,0.875,1.0,0.2787878787878788,0.48611111111111105
1.0,0.18045112781954886,0.2682926829268293,1.0,0.3287671232876712,0.9166666666666666,1.0,0.23300970873786409,0.4150943396226415
1.0,0.24855491329479767,0.23308270676691728,1.0,0.4725274725274725,0.5740740740740741,1.0,0.3257575757575758,0.3315508021390374
0.9655172413793104,0.19909502262443438,0.25,0.9655172413793104,0.4,0.803030303030303,0.9655172413793104,0.26586102719033233,0.381294964028777
1.0,0.14743589743589744,0.26,1.0,0.34328358208955223,0.7358490566037735,1.0,0.20627802690582958,0.3842364532019704
1.0,0.21100917431192662,0.26373626373626374,1.0,0.46938775510204084,0.7741935483870968,1.0,0.2911392405063291,0.3934426229508197
1.0,0.2283464566929134,0.23015873015873015,1.0,0.5272727272727272,0.6590909090909091,1.0,0.31868131868131866,0.3411764705882353
1.0,0.18571428571428572,0.2569444444444444,1.0,0.36619718309859156,0.7115384615384616,1.0,0.24644549763033177,0.37755102040816324
1.0,0.2,0.3076923076923077,1.0,0.25609756097560976,0.972972972972973,1.0,0.22459893048128343,0.4675324675324675
1.0,0.25118483412322273,0.2843601895734597,1.0,0.44166666666666665,0.7792207792207793,1.0,0.32024169184290024,0.41666666666666663
1.0,0.26344086021505375,0.38235294117647056,1.0,0.3951612903225806,0.9069767441860465,1.0,0.3161290322580645,0.5379310344827586
1.0,0.23834196891191708,0.2375,1.0,0.44660194174757284,0.6785714285714286,1.0,0.3108108108108108,0.35185185185185186
1.0,0.19402985074626866,0.3089887640449438,1.0,0.40625,0.7432432432432432,1.0,0.2626262626262626,0.43650793650793646
1.0,0.2054794520547945,0.323943661971831,1.0,0.35714285714285715,0.8846153846153846,1.0,0.2608695652173913,0.4742268041237113
1.0,0.20512820512820512,0.28440366972477066,1.0,0.34285714285714286,0.775,1.0,0.2566844919786096,0.4161073825503356
1.0,0.3146067415730337,0.23448275862068965,1.0,0.5137614678899083,0.918918918918919,1.0,0.3902439024390244,0.37362637362637363
1.0,0.21951219512195122,0.27461139896373055,1.0,0.4411764705882353,0.8548387096774194,1.0,0.2931596091205212,0.4156862745098039
1.0,0.29431438127090304,0.27906976744186046,1.0,0.4607329842931937,0.7578947368421053,1.0,0.35918367346938773,0.4079320113314448
1.0,0.2682926829268293,0.3448275862068966,1.0,0.4,0.8333333333333334,1.0,0.32116788321167883,0.4878048780487806
