Measurement,Average,Standard Deviation
Persona Precision,0.793,0.304
Persona Recall,0.802,0.308
Persona F-Measure,0.797,0.306
Entity Precision,0.299,0.148
Entity Recall,0.507,0.141
Entity F-Measure,0.372,0.148
Action Precision,0.053,0.043
Action Recall,0.074,0.059
Action F-Measure,0.061,0.05
