Measurement,Average,Standard Deviation
Persona Precision,0.864,0.247
Persona Recall,0.87,0.25
Persona F-Measure,0.867,0.248
Entity Precision,0.237,0.111
Entity Recall,0.432,0.144
Entity F-Measure,0.302,0.12
Action Precision,0.087,0.075
Action Recall,0.121,0.094
Action F-Measure,0.101,0.083
