Measurement,Average,Standard Deviation
Persona Precision,0.384,0.316
Entity Precision,0.459,0.301
Action Precision,0.403,0.271
Persona Recall,0.614,0.281
Entity Recall,0.42,0.306
Action Recall,0.556,0.277
Persona F-Measure,0.566,0.256
Entity F-Measure,0.614,0.281
Action F-Measure,0.433,0.287
