Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
0.9642857142857143,0.21511627906976744,0.3212121212121212,0.9642857142857143,0.39361702127659576,0.8688524590163934,0.9642857142857143,0.27819548872180455,0.4690265486725664
1.0,0.32653061224489793,0.3235294117647059,1.0,0.6666666666666666,0.9777777777777777,1.0,0.43835616438356156,0.4861878453038674
1.0,0.2743362831858407,0.3557692307692308,1.0,0.5961538461538461,0.925,1.0,0.37575757575757573,0.513888888888889
1.0,0.2857142857142857,0.2764227642276423,1.0,0.5205479452054794,0.9444444444444444,1.0,0.36893203883495146,0.42767295597484284
1.0,0.2947976878612717,0.24812030075187969,1.0,0.5604395604395604,0.6111111111111112,1.0,0.38636363636363635,0.3529411764705882
0.9655172413793104,0.29411764705882354,0.2783018867924528,0.9655172413793104,0.5909090909090909,0.8939393939393939,0.9655172413793104,0.392749244712991,0.42446043165467623
1.0,0.19230769230769232,0.30666666666666664,1.0,0.44776119402985076,0.8679245283018868,1.0,0.26905829596412556,0.4532019704433497
1.0,0.28440366972477066,0.3076923076923077,1.0,0.6326530612244898,0.9032258064516129,1.0,0.3924050632911392,0.459016393442623
1.0,0.3228346456692913,0.2857142857142857,1.0,0.7454545454545455,0.8181818181818182,1.0,0.4505494505494505,0.4235294117647059
1.0,0.2571428571428571,0.3125,1.0,0.5070422535211268,0.8653846153846154,1.0,0.34123222748815163,0.4591836734693877
1.0,0.3047619047619048,0.3162393162393162,1.0,0.3902439024390244,1.0,1.0,0.34224598930481287,0.4805194805194805
1.0,0.33649289099526064,0.3127962085308057,1.0,0.5916666666666667,0.8571428571428571,1.0,0.4290030211480363,0.45833333333333337
1.0,0.3817204301075269,0.4019607843137255,1.0,0.5725806451612904,0.9534883720930233,1.0,0.45806451612903226,0.5655172413793104
1.0,0.2849740932642487,0.29375,1.0,0.5339805825242718,0.8392857142857143,1.0,0.37162162162162166,0.4351851851851852
1.0,0.26865671641791045,0.3258426966292135,1.0,0.5625,0.7837837837837838,1.0,0.3636363636363636,0.4603174603174603
1.0,0.273972602739726,0.352112676056338,1.0,0.47619047619047616,0.9615384615384616,1.0,0.34782608695652173,0.5154639175257731
1.0,0.28205128205128205,0.30275229357798167,1.0,0.4714285714285714,0.825,1.0,0.35294117647058826,0.4429530201342282
1.0,0.4157303370786517,0.23448275862068965,1.0,0.6788990825688074,0.918918918918919,1.0,0.5156794425087108,0.37362637362637363
1.0,0.33170731707317075,0.3005181347150259,1.0,0.6666666666666666,0.9354838709677419,1.0,0.4429967426710098,0.4549019607843137
1.0,0.41471571906354515,0.3023255813953488,1.0,0.6492146596858639,0.8210526315789474,1.0,0.5061224489795919,0.44192634560906513
1.0,0.34146341463414637,0.367816091954023,1.0,0.509090909090909,0.8888888888888888,1.0,0.4087591240875912,0.5203252032520325
