Measurement,Average,Standard Deviation
Persona Precision,0.793,0.304
Persona Recall,0.802,0.308
Persona F-Measure,0.797,0.306
Entity Precision,0.587,0.177
Entity Recall,0.32,0.099
Entity F-Measure,0.409,0.12
Action Precision,0.063,0.053
Action Recall,0.039,0.035
Action F-Measure,0.048,0.042
