Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.565,0.329,Inclusion Comparison,visual_narrator
Persona Recall,0.565,0.329,Inclusion Comparison,visual_narrator
Persona F-Measure,0.565,0.329,Inclusion Comparison,visual_narrator
Entity Precision,0.366,0.115,Inclusion Comparison,visual_narrator
Entity Recall,0.327,0.108,Inclusion Comparison,visual_narrator
Entity F-Measure,0.345,0.111,Inclusion Comparison,visual_narrator
Action Precision,0.916,0.054,Inclusion Comparison,visual_narrator
Action Recall,0.85,0.07,Inclusion Comparison,visual_narrator
Action F-Measure,0.881,0.057,Inclusion Comparison,visual_narrator
