Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.573,0.256,Strict Comparison,visual_narrator
Persona Recall,0.573,0.256,Strict Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Strict Comparison,visual_narrator
Entity Precision,0.405,0.15,Strict Comparison,visual_narrator
Entity Recall,0.113,0.056,Strict Comparison,visual_narrator
Entity F-Measure,0.177,0.082,Strict Comparison,visual_narrator
Action Precision,0.898,0.074,Strict Comparison,visual_narrator
Action Recall,0.393,0.037,Strict Comparison,visual_narrator
Action F-Measure,0.546,0.047,Strict Comparison,visual_narrator
Persona Precision,0.573,0.256,Inclusion Comparison,visual_narrator
Persona Recall,0.573,0.256,Inclusion Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Inclusion Comparison,visual_narrator
Entity Precision,0.417,0.14,Inclusion Comparison,visual_narrator
Entity Recall,0.116,0.054,Inclusion Comparison,visual_narrator
Entity F-Measure,0.181,0.078,Inclusion Comparison,visual_narrator
Action Precision,0.898,0.074,Inclusion Comparison,visual_narrator
Action Recall,0.393,0.037,Inclusion Comparison,visual_narrator
Action F-Measure,0.546,0.047,Inclusion Comparison,visual_narrator
Persona Precision,0.573,0.256,Relaxed Comparison,visual_narrator
Persona Recall,0.573,0.256,Relaxed Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Relaxed Comparison,visual_narrator
Entity Precision,0.594,0.179,Relaxed Comparison,visual_narrator
Entity Recall,0.165,0.07,Relaxed Comparison,visual_narrator
Entity F-Measure,0.257,0.102,Relaxed Comparison,visual_narrator
Action Precision,0.964,0.05,Relaxed Comparison,visual_narrator
Action Recall,0.422,0.026,Relaxed Comparison,visual_narrator
Action F-Measure,0.586,0.031,Relaxed Comparison,visual_narrator
