Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.803,0.115,Relaxed Comparison,crf
Entity Recall,0.714,0.139,Relaxed Comparison,crf
Entity F-Measure,0.751,0.115,Relaxed Comparison,crf
Action Precision,0.944,0.056,Relaxed Comparison,crf
Action Recall,0.912,0.099,Relaxed Comparison,crf
Action F-Measure,0.925,0.067,Relaxed Comparison,crf
