Measurement,Average,Standard Deviation
Persona Precision,0.821,0.268
Persona Recall,0.828,0.271
Persona F-Measure,0.824,0.269
Entity Precision,0.593,0.182
Entity Recall,0.344,0.129
Entity F-Measure,0.428,0.136
Action Precision,0.083,0.075
Action Recall,0.052,0.04
Action F-Measure,0.063,0.05
