Measurement,Average,Standard Deviation
Persona Precision,0.989,0.014
Persona Recall,0.989,0.014
Persona F-Measure,0.989,0.014
Entity Precision,0.279,0.048
Entity Recall,0.532,0.098
Entity F-Measure,0.364,0.06
Action Precision,0.31,0.029
Action Recall,0.854,0.056
Action F-Measure,0.454,0.035
