Measurement,Average,Standard Deviation
Persona Precision,0.989,0.014
Persona Recall,0.989,0.014
Persona F-Measure,0.989,0.014
Entity Precision,0.211,0.05
Entity Recall,0.404,0.098
Entity F-Measure,0.276,0.064
Action Precision,0.277,0.03
Action Recall,0.764,0.077
Action F-Measure,0.406,0.04
