Measurement,Average,Standard Deviation
Persona Precision,0.49,0.37
Persona Recall,0.49,0.37
Persona F-Measure,0.49,0.37
Entity Precision,0.361,0.17
Entity Recall,0.096,0.047
Entity F-Measure,0.151,0.074
Action Precision,0.755,0.314
Action Recall,0.313,0.14
Action F-Measure,0.442,0.191
