Measurement,Average,Standard Deviation
Persona Precision,0.631,0.252
Entity Precision,0.504,0.272
Action Precision,0.609,0.268
Persona Recall,0.627,0.294
Entity Recall,0.448,0.311
Action Recall,0.407,0.308
Persona F-Measure,0.449,0.287
Entity F-Measure,0.611,0.262
Action F-Measure,0.441,0.231
