Measurement,Average,Standard Deviation
Persona Precision,0.989,0.014
Persona Recall,0.989,0.014
Persona F-Measure,0.989,0.014
Entity Precision,0.077,0.027
Entity Recall,0.478,0.122
Entity F-Measure,0.133,0.044
Action Precision,0.15,0.019
Action Recall,0.95,0.037
Action F-Measure,0.258,0.029
