Measurement,Average,Standard Deviation
Persona Precision,0.479,0.37
Persona Recall,0.479,0.37
Persona F-Measure,0.479,0.37
Entity Precision,0.409,0.218
Entity Recall,0.351,0.18
Entity F-Measure,0.377,0.197
Action Precision,0.81,0.328
Action Recall,0.769,0.311
Action F-Measure,0.789,0.319
