Measurement,Average,Standard Deviation
Persona Precision,0.989,0.014
Persona Recall,0.989,0.014
Persona F-Measure,0.989,0.014
Entity Precision,0.208,0.051
Entity Recall,0.397,0.1
Entity F-Measure,0.272,0.065
Action Precision,0.277,0.03
Action Recall,0.764,0.078
Action F-Measure,0.406,0.039
