Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.994,0.01,Strict Comparison,simple
Persona Recall,0.994,0.01,Strict Comparison,simple
Persona F-Measure,0.994,0.01,Strict Comparison,simple
Entity Precision,0.223,0.035,Strict Comparison,simple
Entity Recall,0.398,0.054,Strict Comparison,simple
Entity F-Measure,0.285,0.039,Strict Comparison,simple
Action Precision,0.29,0.048,Strict Comparison,simple
Action Recall,0.799,0.062,Strict Comparison,simple
Action F-Measure,0.425,0.059,Strict Comparison,simple
