Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
0.32142857142857145,0.07142857142857142,0.8214285714285714,0.32142857142857145,0.06896551724137931,0.7666666666666667,0.32142857142857145,0.07017543859649124,0.793103448275862
0.29411764705882354,0.5294117647058824,1.0,0.29411764705882354,0.5294117647058824,1.0,0.29411764705882354,0.5294117647058824,1.0
1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.9375,1.0,0.3333333333333333,0.967741935483871
0.125,0.5,0.875,0.125,0.38095238095238093,0.7777777777777778,0.125,0.4324324324324324,0.823529411764706
0.8,0.3,0.9,0.8,0.2727272727272727,0.8181818181818182,0.8000000000000002,0.28571428571428564,0.8571428571428572
0.1724137931034483,0.7241379310344828,1.0,0.1724137931034483,0.5675675675675675,1.0,0.1724137931034483,0.6363636363636365,1.0
0.22727272727272727,0.2727272727272727,0.9545454545454546,0.22727272727272727,0.25,0.9545454545454546,0.22727272727272727,0.2608695652173913,0.9545454545454546
0.125,0.6875,1.0,0.125,0.6470588235294118,0.9411764705882353,0.125,0.6666666666666667,0.9696969696969697
1.0,0.75,0.9375,1.0,0.75,0.8823529411764706,1.0,0.75,0.9090909090909091
0.95,0.3,1.0,0.95,0.2857142857142857,1.0,0.9500000000000001,0.2926829268292683,1.0
0.3157894736842105,0.47368421052631576,1.0,0.3157894736842105,0.42857142857142855,0.95,0.3157894736842105,0.45,0.9743589743589743
0.9032258064516129,0.6774193548387096,1.0,0.9032258064516129,0.6363636363636364,0.9117647058823529,0.9032258064516129,0.65625,0.9538461538461539
1.0,0.7560975609756098,0.9512195121951219,1.0,0.7380952380952381,0.9512195121951219,1.0,0.746987951807229,0.9512195121951219
0.9523809523809523,0.5238095238095238,0.9523809523809523,0.9523809523809523,0.4782608695652174,0.8695652173913043,0.9523809523809523,0.5,0.909090909090909
0.52,0.48,0.96,0.52,0.46153846153846156,0.96,0.52,0.47058823529411764,0.96
0.8823529411764706,0.35294117647058826,1.0,0.8823529411764706,0.3,0.7391304347826086,0.8823529411764706,0.3243243243243243,0.85
0.5625,0.8125,1.0,0.5625,0.7647058823529411,0.8421052631578947,0.5625,0.787878787878788,0.9142857142857143
0.26666666666666666,0.5666666666666667,1.0,0.26666666666666666,0.4594594594594595,0.967741935483871,0.26666666666666666,0.5074626865671642,0.9836065573770492
0.9666666666666667,0.7,1.0,0.9666666666666667,0.6,1.0,0.9666666666666667,0.6461538461538462,1.0
0.3235294117647059,0.6764705882352942,1.0,0.3235294117647059,0.5476190476190477,0.85,0.3235294117647059,0.605263157894737,0.9189189189189189
0.5,0.2777777777777778,1.0,0.5,0.23809523809523808,0.72,0.5,0.25641025641025644,0.8372093023255813
