Measurement,Average,Standard Deviation,Comparison Mode
Persona Precision,0.557,0.346,c
Persona Recall,0.557,0.346,c
Persona F-Measure,1,0.5,c
Entity Precision,0.404,0.116,c
Entity Recall,0.112,0.039,c
Entity F-Measure,1,0.5,c
Action Precision,0.896,0.077,c
Action Recall,0.378,0.057,c
Action F-Measure,1,0.5,c
