Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.998,0,Strict Comparison,crf
Persona Recall,0.998,0,Strict Comparison,crf
Persona F-Measure,0.998,0,Strict Comparison,crf
Entity Precision,0.845,0,Strict Comparison,crf
Entity Recall,0.85,0,Strict Comparison,crf
Entity F-Measure,0.848,0,Strict Comparison,crf
Action Precision,0.846,0,Strict Comparison,crf
Action Recall,0.869,0,Strict Comparison,crf
Action F-Measure,0.858,0,Strict Comparison,crf
Persona Precision,0.998,0,Inclusion Comparison,crf
Persona Recall,0.998,0,Inclusion Comparison,crf
Persona F-Measure,0.998,0,Inclusion Comparison,crf
Entity Precision,0.85,0,Inclusion Comparison,crf
Entity Recall,0.855,0,Inclusion Comparison,crf
Entity F-Measure,0.852,0,Inclusion Comparison,crf
Action Precision,0.846,0,Inclusion Comparison,crf
Action Recall,0.869,0,Inclusion Comparison,crf
Action F-Measure,0.858,0,Inclusion Comparison,crf
Persona Precision,0.998,0,Relaxed Comparison,crf
Persona Recall,0.998,0,Relaxed Comparison,crf
Persona F-Measure,0.998,0,Relaxed Comparison,crf
Entity Precision,0.877,0,Relaxed Comparison,crf
Entity Recall,0.883,0,Relaxed Comparison,crf
Entity F-Measure,0.88,0,Relaxed Comparison,crf
Action Precision,0.876,0,Relaxed Comparison,crf
Action Recall,0.9,0,Relaxed Comparison,crf
Action F-Measure,0.888,0,Relaxed Comparison,crf
