Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.7973856209150327,0.7735849056603774,1.0,0.583732057416268,0.5815602836879432,1.0,0.6740331491712708,0.6639676113360323
1.0,0.8641304347826086,0.8780487804878049,1.0,0.6824034334763949,0.7448275862068966,1.0,0.7625899280575539,0.8059701492537314
0.94,0.8278688524590164,0.8314606741573034,0.94,0.6011904761904762,0.6218487394957983,0.94,0.696551724137931,0.7115384615384616
1.0,0.8323353293413174,0.7741935483870968,1.0,0.5965665236051502,0.5714285714285714,1.0,0.6950000000000001,0.6575342465753424
1.0,0.9126984126984127,0.9295774647887324,1.0,0.6117021276595744,0.616822429906542,1.0,0.7324840764331209,0.7415730337078651
0.9791666666666666,0.7922077922077922,0.8653846153846154,0.9791666666666666,0.5111731843575419,0.6053811659192825,0.9791666666666666,0.6213921901528013,0.7124010554089709
1.0,0.832258064516129,0.8759124087591241,1.0,0.589041095890411,0.7142857142857143,1.0,0.6898395721925135,0.7868852459016394
1.0,0.8411214953271028,0.8,1.0,0.5732484076433121,0.6060606060606061,1.0,0.6818181818181818,0.689655172413793
1.0,0.7424242424242424,0.78125,1.0,0.460093896713615,0.5067567567567568,1.0,0.5681159420289855,0.6147540983606558
1.0,0.8068965517241379,0.835820895522388,1.0,0.5131578947368421,0.6222222222222222,1.0,0.6273458445040214,0.7133757961783439
1.0,0.7821782178217822,0.78125,1.0,0.6220472440944882,0.7692307692307693,1.0,0.6929824561403509,0.7751937984496126
1.0,0.8301886792452831,0.7875,1.0,0.6489675516224189,0.6086956521739131,1.0,0.7284768211920529,0.6866485013623977
1.0,0.9184397163120568,0.8439024390243902,1.0,0.6906666666666667,0.6731517509727627,1.0,0.7884322678843226,0.7489177489177489
0.8309859154929577,0.8298969072164949,0.7883211678832117,0.855072463768116,0.5296052631578947,0.5775401069518716,0.8428571428571429,0.646586345381526,0.6666666666666666
1.0,0.7188940092165899,0.9212121212121213,1.0,0.4968152866242038,0.6785714285714286,1.0,0.5875706214689266,0.7814910025706941
1.0,0.8761904761904762,0.9117647058823529,1.0,0.7666666666666667,0.8266666666666667,1.0,0.8177777777777778,0.8671328671328671
0.9433962264150944,0.8455882352941176,0.7912087912087912,0.9433962264150944,0.515695067264574,0.5581395348837209,0.9433962264150944,0.6406685236768802,0.6545454545454545
1.0,0.8721311475409836,0.9099099099099099,1.0,0.7409470752089137,0.7769230769230769,1.0,0.8012048192771084,0.8381742738589212
1.0,0.7904761904761904,0.8356164383561644,1.0,0.5407166123778502,0.61,1.0,0.6421663442940039,0.7052023121387282
0.9826086956521739,0.7732997481108312,0.8064516129032258,0.9826086956521739,0.5159663865546219,0.5756578947368421,0.9826086956521739,0.618951612903226,0.6717850287907869
1.0,0.912751677852349,0.9120879120879121,1.0,0.7311827956989247,0.7980769230769231,1.0,0.8119402985074627,0.8512820512820513
