Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.8562091503267973,0.9056603773584906,1.0,0.6267942583732058,0.6808510638297872,1.0,0.723756906077348,0.7773279352226722
1.0,0.9402173913043478,0.9512195121951219,1.0,0.7424892703862661,0.8068965517241379,1.0,0.829736211031175,0.8731343283582088
0.94,0.9016393442622951,0.8764044943820225,0.94,0.6547619047619048,0.6554621848739496,0.94,0.7586206896551725,0.75
1.0,0.8982035928143712,0.8172043010752689,1.0,0.6437768240343348,0.6031746031746031,1.0,0.7500000000000001,0.6940639269406392
1.0,0.9603174603174603,0.9577464788732394,1.0,0.6436170212765957,0.6355140186915887,1.0,0.7707006369426752,0.7640449438202247
0.9791666666666666,0.8528138528138528,0.9358974358974359,0.9791666666666666,0.5502793296089385,0.6547085201793722,0.9791666666666666,0.6689303904923599,0.7704485488126649
1.0,0.8903225806451613,0.948905109489051,1.0,0.6301369863013698,0.7738095238095238,1.0,0.7379679144385026,0.8524590163934426
1.0,0.8411214953271028,0.9333333333333333,1.0,0.5732484076433121,0.7070707070707071,1.0,0.6818181818181818,0.8045977011494253
1.0,0.8333333333333334,0.8541666666666666,1.0,0.5164319248826291,0.5540540540540541,1.0,0.6376811594202899,0.6721311475409837
1.0,0.896551724137931,0.9104477611940298,1.0,0.5701754385964912,0.6777777777777778,1.0,0.6970509383378015,0.7770700636942676
1.0,0.8465346534653465,0.7890625,1.0,0.6732283464566929,0.7769230769230769,1.0,0.75,0.7829457364341087
1.0,0.879245283018868,0.925,1.0,0.6873156342182891,0.714975845410628,1.0,0.7715231788079471,0.8065395095367848
1.0,0.9432624113475178,0.8975609756097561,1.0,0.7093333333333334,0.7159533073929961,1.0,0.8097412480974125,0.7965367965367965
0.8309859154929577,0.8711340206185567,0.8978102189781022,0.855072463768116,0.555921052631579,0.6577540106951871,0.8428571428571429,0.678714859437751,0.7592592592592592
1.0,0.8064516129032258,0.9575757575757575,1.0,0.5573248407643312,0.7053571428571429,1.0,0.6591337099811675,0.8123393316195374
1.0,0.9047619047619048,0.9705882352941176,1.0,0.7916666666666666,0.88,1.0,0.8444444444444444,0.9230769230769231
0.9433962264150944,0.875,0.8461538461538461,0.9433962264150944,0.5336322869955157,0.5968992248062015,0.9433962264150944,0.6629526462395543,0.7
1.0,0.9508196721311475,0.9369369369369369,1.0,0.807799442896936,0.8,1.0,0.8734939759036144,0.8630705394190872
1.0,0.8523809523809524,0.9041095890410958,1.0,0.5830618892508144,0.66,1.0,0.6924564796905224,0.7630057803468209
0.9826086956521739,0.7657430730478589,0.8847926267281107,0.9826086956521739,0.5109243697478991,0.631578947368421,0.9826086956521739,0.6129032258064516,0.7370441458733206
1.0,0.9395973154362416,0.9230769230769231,1.0,0.7526881720430108,0.8076923076923077,1.0,0.8358208955223881,0.8615384615384616
