Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.7908496732026143,0.7735849056603774,1.0,0.5789473684210527,0.5815602836879432,1.0,0.6685082872928177,0.6639676113360323
1.0,0.8641304347826086,0.8780487804878049,1.0,0.6824034334763949,0.7448275862068966,1.0,0.7625899280575539,0.8059701492537314
0.94,0.819672131147541,0.8314606741573034,0.94,0.5952380952380952,0.6218487394957983,0.94,0.689655172413793,0.7115384615384616
1.0,0.8203592814371258,0.7741935483870968,1.0,0.5879828326180258,0.5714285714285714,1.0,0.6849999999999999,0.6575342465753424
1.0,0.9047619047619048,0.9295774647887324,1.0,0.6063829787234043,0.616822429906542,1.0,0.7261146496815286,0.7415730337078651
0.9791666666666666,0.7922077922077922,0.8653846153846154,0.9791666666666666,0.5111731843575419,0.6053811659192825,0.9791666666666666,0.6213921901528013,0.7124010554089709
1.0,0.832258064516129,0.8759124087591241,1.0,0.589041095890411,0.7142857142857143,1.0,0.6898395721925135,0.7868852459016394
1.0,0.794392523364486,0.8,1.0,0.5414012738853503,0.6060606060606061,1.0,0.6439393939393939,0.689655172413793
1.0,0.7348484848484849,0.7604166666666666,1.0,0.45539906103286387,0.49324324324324326,1.0,0.56231884057971,0.5983606557377049
1.0,0.8068965517241379,0.835820895522388,1.0,0.5131578947368421,0.6222222222222222,1.0,0.6273458445040214,0.7133757961783439
1.0,0.7673267326732673,0.78125,1.0,0.610236220472441,0.7692307692307693,1.0,0.6798245614035088,0.7751937984496126
1.0,0.8264150943396227,0.7875,1.0,0.6460176991150443,0.6086956521739131,1.0,0.7251655629139074,0.6866485013623977
1.0,0.9148936170212766,0.8390243902439024,1.0,0.688,0.669260700389105,1.0,0.7853881278538812,0.7445887445887446
0.8309859154929577,0.8298969072164949,0.7883211678832117,0.855072463768116,0.5296052631578947,0.5775401069518716,0.8428571428571429,0.646586345381526,0.6666666666666666
1.0,0.7188940092165899,0.9212121212121213,1.0,0.4968152866242038,0.6785714285714286,1.0,0.5875706214689266,0.7814910025706941
1.0,0.8666666666666667,0.9117647058823529,1.0,0.7583333333333333,0.8266666666666667,1.0,0.808888888888889,0.8671328671328671
0.9433962264150944,0.8455882352941176,0.7912087912087912,0.9433962264150944,0.515695067264574,0.5581395348837209,0.9433962264150944,0.6406685236768802,0.6545454545454545
1.0,0.8622950819672132,0.9099099099099099,1.0,0.7325905292479109,0.7769230769230769,1.0,0.7921686746987953,0.8381742738589212
1.0,0.7857142857142857,0.8356164383561644,1.0,0.5374592833876222,0.61,1.0,0.6382978723404255,0.7052023121387282
0.9826086956521739,0.7304785894206549,0.8018433179723502,0.9826086956521739,0.48739495798319327,0.5723684210526315,0.9826086956521739,0.5846774193548386,0.6679462571976967
1.0,0.9060402684563759,0.9010989010989011,1.0,0.7258064516129032,0.7884615384615384,1.0,0.8059701492537312,0.841025641025641
