Measurement,Average,Standard Deviation
Persona Precision,0.557,0.346
Persona Recall,0.557,0.346
Persona F-Measure,0.557,0.346
Entity Precision,0.359,0.118
Entity Recall,0.316,0.109
Entity F-Measure,0.335,0.112
Action Precision,0.893,0.077
Action Recall,0.849,0.069
Action F-Measure,0.87,0.072
